시점,연령별,계,남자,여자
2015,합계,48339559,23804846,24534713
2015,15세미만,6888615,3556446,3332169
2015,15~19세,2835413,1455931,1379482
2015,20~24세,2763722,1282312,1481410
2015,25~29세,2972437,1522505,1449932
2015,30~34세,3570246,1805771,1764475
2015,35~39세,3765009,1904082,1860927
2015,40~44세,4194519,2119525,2074994
2015,45~49세,4242619,2126980,2115639
2015,50~54세,4119181,2069459,2049722
2015,55~59세,3837143,1902004,1935139
2015,60~64세,2741704,1336256,1405448
2015,65~69세,2103674,1007247,1096427
2015,70~74세,1742546,781670,960876
2015,75~79세,1327847,542202,785645
2015,80~84세,773354,267987,505367
2015,85세이상,461530,124469,337061
2015,15~64세,35041993,17524825,17517168
2015,65세이상,6408951,2723575,3685376
2016,합계,48551348,23918710,24632638
2016,15세미만,6753076,3481573,3271503
2016,15~19세,2715405,1389440,1325965
2016,20~24세,2796573,1307200,1489373
2016,25~29세,3020163,1553308,1466855
2016,30~34세,3394882,1721682,1673200
2016,35~39세,3841035,1945667,1895368
2016,40~44세,4016679,2031332,1985347
2016,45~49세,4350652,2175889,2174763
2016,50~54세,4009442,2024438,1985004
2016,55~59세,4051464,2005872,2045592
2016,60~64세,2993155,1461092,1532063
2016,65~69세,2167736,1037162,1130574
2016,70~74세,1719775,778807,940968
2016,75~79세,1389176,574244,814932
2016,80~84세,839158,297651,541507
2016,85세이상,492977,133353,359624
2016,15~64세,35189450,17615920,17573530
2016,65세이상,6608822,2821217,3787605
2017,합계,48614907,23973333,24641574
2017,15세미만,6613883,3405509,3208374
2017,15~19세,2573204,1316430,1256774
2017,20~24세,2750740,1284186,1466554
2017,25~29세,3109124,1607192,1501932
2017,30~34세,3210358,1635481,1574877
2017,35~39세,3898665,1977320,1921345
2017,40~44세,3904060,1970559,1933501
2017,45~49세,4386047,2204470,2181577
2017,50~54세,3981187,1999771,1981416
2017,55~59세,4141719,2054329,2087390
2017,60~64세,3156104,1543892,1612212
2017,65~69세,2266611,1087309,1179302
2017,70~74세,1726140,788759,937381
2017,75~79세,1498779,629439,869340
2017,80~84세,883675,322923,560752
2017,85세이상,514611,145764,368847
2017,15~64세,35111208,17593630,17517578
2017,65세이상,6889816,2974194,3915622
2018,합계,48664922,24010719,24654203
2018,15세미만,6465942,3326313,3139629
2018,15~19세,2410324,1231502,1178822
2018,20~24세,2722228,1274923,1447305
2018,25~29세,3204366,1666722,1537644
2018,30~34세,3076625,1571238,1505387
2018,35~39세,3912833,1984850,1927983
2018,40~44세,3766795,1905601,1861194
2018,45~49세,4346252,2187202,2159050
2018,50~54세,4052597,2024653,2027944
2018,55~59세,4187673,2079143,2108530
2018,60~64세,3379781,1658753,1721028
2018,65~69세,2318804,1110664,1208140
2018,70~74세,1796606,829230,967376
2018,75~79세,1536930,651181,885749
2018,80~84세,938037,349291,588746
2018,85세이상,549129,159453,389676
2018,15~64세,35059474,17584587,17474887
2018,65세이상,7139506,3099819,4039687
2019,합계,48674177,24029501,24644676
2019,15세미만,6296648,3236713,3059935
2019,15~19세,2262120,1152399,1109721
2019,20~24세,2676127,1266355,1409772
2019,25~29세,3284719,1713307,1571412
2019,30~34세,3023482,1549970,1473512
2019,35~39세,3789676,1924470,1865206
2019,40~44세,3698794,1869529,1829265
2019,45~49세,4289786,2162206,2127580
2019,50~54세,4169392,2078150,2091242
2019,55~59세,4140190,2059480,2080710
2019,60~64세,3578478,1754466,1824012
2019,65~69세,2430488,1166572,1263916
2019,70~74세,1888139,878584,1009555
2019,75~79세,1544916,659165,885751
2019,80~84세,1001174,379422,621752
2019,85세이상,600048,178713,421335
2019,15~64세,34912764,17530332,17382432
2019,65세이상,7464765,3262456,4202309
2020,합계,49028727,24202134,24826593
2020,15세미만,6159722,3164157,2995565
2020,15~19세,2208752,1123049,1085703
2020,20~24세,2790465,1314905,1475560
2020,25~29세,3380057,1764662,1615395
2020,30~34세,3042091,1567009,1475082
2020,35~39세,3603275,1833161,1770114
2020,40~44세,3753646,1896599,1857047
2020,45~49세,4180070,2105204,2074866
2020,50~54세,4223008,2106684,2116324
2020,55~59세,4064377,2025737,2038640
2020,60~64세,3764489,1845468,1919021
2020,65~69세,2660010,1274792,1385218
2020,70~74세,1980075,923593,1056482
2020,75~79세,1540870,663226,877644
2020,80~84세,1032047,396905,635142
2020,85세이상,645773,196983,448790
2020,15~64세,35010230,17582478,17427752
2020,65세이상,7858775,3455499,4403276
2021,합계,49063531,24270009,24793522
2021,15세미만,5991713,3076190,2915523
2021,15~19세,2090046,1067714,1022332
2021,20~24세,2670599,1284310,1386289
2021,25~29세,3400702,1778098,1622604
2021,30~34세,3091042,1597987,1493055
2021,35~39세,3424210,1744971,1679239
2021,40~44세,3832964,1940421,1892543
2021,45~49세,4002153,2018169,1983984
2021,50~54세,4336146,2160514,2175632
2021,55~59세,3958355,1986284,1972071
2021,60~64세,3988108,1955827,2032281
2021,65~69세,2902348,1394224,1508124
2021,70~74세,2042154,952588,1089566
2021,75~79세,1529990,666356,863634
2021,80~84세,1092367,425499,666868
2021,85세이상,710634,220857,489777
2021,15~64세,34794325,17534295,17260030
2021,65세이상,8277493,3659524,4617969
2022,합계,48884646,24158441,24726205
2022,15세미만,5761421,2956777,2804644
2022,15~19세,2034726,1032405,1002321
2022,20~24세,2426051,1155623,1270428
2022,25~29세,3340182,1740315,1599867
2022,30~34세,3186443,1656507,1529936
2022,35~39세,3229820,1649081,1580739
2022,40~44세,3890212,1971862,1918350
2022,45~49세,3892193,1959171,1933022
2022,50~54세,4371363,2188927,2182436
2022,55~59세,3942578,1969066,1973512
2022,60~64세,4067484,1998098,2069386
2022,65~69세,3066136,1477597,1588539
2022,70~74세,2145118,1003649,1141469
2022,75~79세,1551840,682931,868909
2022,80~84세,1201647,473602,728045
2022,85세이상,777432,242830,534602
2022,15~64세,34381052,17321055,17059997
2022,65세이상,8742173,3880609,4861564
2023,합계,48870498,24160916,24709582
2023,15세미만,5526647,2835487,2691160
2023,15~19세,2041679,1035272,1006407
2023,20~24세,2306069,1097570,1208499
2023,25~29세,3269300,1696812,1572488
2023,30~34세,3281148,1713691,1567457
2023,35~39세,3099533,1587411,1512122
2023,40~44세,3907718,1982266,1925452
2023,45~49세,3760321,1898861,1861460
2023,50~54세,4336806,2176341,2160465
2023,55~59세,4021368,2000125,2021243
2023,60~64세,4130986,2036225,2094761
2023,65~69세,3285735,1589756,1695979
2023,70~74세,2202791,1030442,1172349
2023,75~79세,1624330,722744,901586
2023,80~84세,1240617,493234,747383
2023,85세이상,835450,264679,570771
2023,15~64세,34154928,17224574,16930354
2023,65세이상,9188923,4100855,5088068
2024,합계,48783236,24114897,24668339
2024,15세미만,5323384,2729407,2593977
2024,15~19세,2053300,1042357,1010943
2024,20~24세,2170949,1029629,1141320
2024,25~29세,3165669,1635491,1530178
2024,30~34세,3352888,1754821,1598067
2024,35~39세,3049503,1567979,1481524
2024,40~44세,3785299,1921886,1863413
2024,45~49세,3694906,1864000,1830906
2024,50~54세,4284455,2153521,2130934
2024,55~59세,4147758,2060019,2087739
2024,60~64세,4088625,2019248,2069377
2024,65~69세,3492058,1690238,1801820
2024,70~74세,2313594,1085255,1228339
2024,75~79세,1713222,769203,944019
2024,80~84세,1250747,501672,749075
2024,85세이상,896879,290171,606708
2024,15~64세,33793352,17048951,16744401
2024,65세이상,9666500,4336539,5329961
